plot,mtry,rmse_trn,rmse_trns_se,rsq_trn,ME,ME.se,MAE,MAE.se,RMSE,RMSE.se,Rsq
cof2,9,0.0931414193780443,0.0250063065681925,0.801319251965922,0.00465648950066144,0.0105415270889167,0.0644291063988095,0.00767154269556761,0.0938107806726527,0.00219430531118275,0.811154990081469
cof2,9,0.0962570191523735,0.017026622239403,0.782125137182195,0.0155630126488096,0.00975392021256588,0.0632794751157406,0.00689330366068842,0.0880805606489991,0.00174628478872611,0.824994141627958
cof2,9,0.097784067548101,0.0240087477703019,0.781561426402407,-0.0157278902281746,0.0106849948163121,0.0614830472718254,0.00833367535808686,0.09626383825079,0.00260810842376583,0.813277417833576
cof2,9,0.0926804927620188,0.0227807962917648,0.806588766520003,-0.0240244098544973,0.0109571481711607,0.0670189740740741,0.00839702928968346,0.10030872771795,0.00265614212413493,0.798126592939005
cof2,9,0.0863379316973289,0.0135997576272861,0.83554063244082,0.0136807604001324,0.0117614872090823,0.0757097605324073,0.00825500944454649,0.105429773467029,0.00229778703146805,0.75087474712764
cof2,5,0.100739047960421,0.0265536541822504,0.789095951040431,0.00277249945436527,0.00893713316306328,0.0565640855985449,0.00628249180427986,0.0794833462933976,0.00141389259595546,0.86155353142741
cof2,9,0.104933138772536,0.0209578782415137,0.745839949323723,-0.0131250010085978,0.00821004051530853,0.0552507529265873,0.00556275636109406,0.0741433888303825,0.00100242106760504,0.898244732094909
cof2,5,0.0974937853565998,0.0225110805472319,0.794887170802595,0.0091343070271164,0.0104414064295705,0.0650370839451058,0.00751911300212014,0.0932536865482339,0.00187057391933277,0.783834726551705
cof2,9,0.0941251657501241,0.0216814384220718,0.807233530405224,-0.0263633504133596,0.0121904187237291,0.0722730721064815,0.0095543267933373,0.111511993207661,0.00323885576763968,0.704975894410518
cof2,9,0.0920923869785894,0.027915500522026,0.807078046917802,0.0104571982804233,0.012678571411736,0.0736383781746031,0.00966900956144562,0.113173763153094,0.00361550779718257,0.720404283274309
