"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-11-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 07:00:00,7.65,7.47,508.01,367.38,95.67,7.47,667.24,0,0.26
2014-11-19 08:00:00,7.88,8.1,528.86,374.13,95.55,18.02,667.29,0.8,-0.05
2014-11-19 09:00:00,7.27,7.33,444.32,363.31,99,14.26,667.52,2.9,0.06
2014-11-19 10:00:00,7.42,7.55,506.36,367.97,99,11.33,667.77,1.6,0.1
2014-11-19 11:00:00,7.7,7.9,570.74,377.57,99,18.01,667.59,1,-0.03
2014-11-19 12:00:00,7.3,7.74,542.81,377,99,27.1,667.02,0.4,-0.09
2014-11-19 13:00:00,8.28,8.86,660.79,395.29,98.87,27.61,666.47,0.1,0.17
2014-11-19 14:00:00,8.56,9.3,550.24,388.18,98.95,31.58,666.11,0,-0.01
2014-11-19 15:00:00,8.23,8.64,492.81,377.19,99,16.2,665.73,0.2,0.01
2014-11-19 16:00:00,8.01,8.65,544.78,387.49,98.65,11.13,665.62,0,0.11
2014-11-19 17:00:00,7.61,8.24,398.75,367.52,97.82,12.19,665.84,0,0
2014-11-19 18:00:00,6.45,6.5,333,351.39,98,-3.35,666.15,0,0
2014-11-19 19:00:00,5.73,5.14,309.13,342.26,97.55,-12.92,666.67,0,0
2014-11-19 20:00:00,5.34,3.86,308.52,335.18,96.12,-21.14,667.26,0,0
2014-11-19 21:00:00,5.6,3.92,315.5,334.51,92.63,-22.88,667.75,0,0
2014-11-19 22:00:00,5.67,3.82,313.3,334.54,92.95,-20.87,667.71,0,0
2014-11-19 23:00:00,5.04,3.25,313.08,330.37,94.13,-21.73,667.51,0,0
2014-11-20 00:00:00,5.14,3.22,308.62,328.8,88.39,-22.16,667.26,0,0
2014-11-20 01:00:00,4.83,3.19,311.47,327.37,92.62,-21.64,666.58,0,0
2014-11-20 02:00:00,5.02,2.75,311.26,326.48,90.2,-20.61,666.3,0,0
2014-11-20 03:00:00,5.6,3.24,320.45,331.88,85.18,-18.41,666.36,0,0
