"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-11-25 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25 07:00:00,7.16,5.34,582.13,381.87,38.44,-17.22,644.99,0,0.36
2014-11-25 08:00:00,8.05,8.57,700.95,393.69,41.47,-14.82,645.25,0,0.29
2014-11-25 09:00:00,9.46,10.9,984.44,450.65,48.88,26.36,645.4,0,0.42
2014-11-25 10:00:00,10.16,11.99,1026.09,475.95,67.97,74.94,645.23,0,0.34
2014-11-25 11:00:00,9.88,11.71,929.67,463.43,80.35,73.88,644.91,0,0.27
2014-11-25 12:00:00,9.36,11.24,825.51,451.09,84.92,63.8,644.51,0,0.18
2014-11-25 13:00:00,7.71,8.79,532.69,397.92,90.53,38,644.06,0,0.01
2014-11-25 14:00:00,6.37,6.78,466.78,372.59,96.97,12.57,643.69,0.1,0.02
2014-11-25 15:00:00,6.94,7.62,507.72,381.96,94.42,18.57,643.4,0,0.06
2014-11-25 16:00:00,6.51,6.95,448,371.19,95.35,16.71,643.2,0,0.01
2014-11-25 17:00:00,6.08,6.3,406.65,363.95,96.98,3.62,643.35,0,0.04
2014-11-25 18:00:00,5.83,5.73,311.69,348.32,93.1,-4.33,643.46,0,-0.06
2014-11-25 19:00:00,5.09,4.07,278.75,333.31,83.65,-22.08,643.58,0,0
2014-11-25 20:00:00,4.83,3.54,258.24,324.68,63.47,-25.95,644.07,0,0
2014-11-25 21:00:00,5.05,3.65,245.91,321.94,48.03,-28.15,644.44,0,-0.01
2014-11-25 22:00:00,5.35,3.92,246.46,323.96,42.38,-28.29,644.49,0,0
2014-11-25 23:00:00,5.41,4.01,246.58,324.52,40.97,-27.45,644.41,0,0
2014-11-26 00:00:00,4.78,3.38,240.82,319.66,43.56,-26.12,644.06,0,0
2014-11-26 01:00:00,4.97,3.54,239.76,317.52,40,-22.69,643.65,0,0
2014-11-26 02:00:00,4.56,3.08,240.15,317.51,39.92,-21.88,643.28,0,0
2014-11-26 03:00:00,4.19,2.86,237.88,316.03,39.8,-21.21,642.97,0,0
2014-11-26 04:00:00,3.69,2.3,235.45,314.13,40.63,-20.51,643.09,0,0
2014-11-26 05:00:00,3.62,2.34,233.46,313.33,39.95,-20.18,643.37,0,0
2014-11-26 06:00:00,3.9,2.57,247.87,315.33,39.08,-19.22,643.61,0,0
2014-11-26 07:00:00,5.48,3.73,397.82,341.6,35.3,-17.85,644.17,0,0.15
2014-11-26 08:00:00,8.16,8.79,702.11,394.81,35.7,-11.12,644.62,0,0.28
2014-11-26 09:00:00,9.67,11.13,979.12,455.5,47.87,34.86,644.76,0,0.35
2014-11-26 10:00:00,10.56,12.57,1159.04,503.33,59.88,74.69,644.86,0,0.45
2014-11-26 11:00:00,11.12,13.47,1285.17,537.22,62.28,94.45,644.6,0,0.5
2014-11-26 12:00:00,11.43,13.98,1246.78,539.24,60.68,100.24,644.32,0,0.47
2014-11-26 13:00:00,11.71,14.49,1292.1,555.86,55.82,92.94,643.87,0,0.56
2014-11-26 14:00:00,11.48,14.27,1143.02,539.06,59.97,80.86,643.38,0,0.36
2014-11-26 15:00:00,9.03,10.57,590.05,428.48,69.17,33.99,642.96,0,-0.01
2014-11-26 16:00:00,7.35,8.1,467.76,391.82,76.08,4.85,642.76,0,0.01
2014-11-26 17:00:00,6.31,6.72,377.31,368.01,87.92,-2.82,642.57,0,-0.04
2014-11-26 18:00:00,5.21,5.37,316.03,351.73,89.98,-11.68,642.81,0,-0.06
2014-11-26 19:00:00,3.96,3.42,256.4,335.56,79.02,-25,643.16,0,-0.09
2014-11-26 20:00:00,3.72,2.68,245.92,327.46,65.9,-31.28,643.75,0,-0.05
2014-11-26 21:00:00,4.07,3.09,258.01,326.76,64.45,-29.55,644.27,0,-0.03
2014-11-26 22:00:00,3.93,3,252.91,324.63,68.08,-28.49,644.28,0,0
2014-11-26 23:00:00,4.46,3.64,277.74,327.59,68.47,-23.59,643.92,0,-0.01
2014-11-27 00:00:00,4.52,3.65,281.54,327.92,61.24,-22.49,643.53,0,-0.01
2014-11-27 01:00:00,3.94,2.96,253.11,323.6,65.13,-23.17,642.99,0,-0.02
2014-11-27 02:00:00,3.45,2.58,245.27,320.21,69.2,-24.71,642.71,0,0
2014-11-27 03:00:00,3.55,2.69,242.68,318.23,67.37,-24.07,642.6,0,0
2014-11-27 04:00:00,3.03,1.99,243.5,317.36,69.53,-24.31,642.79,0,-0.02
2014-11-27 05:00:00,2.79,1.89,256.68,320.09,81.02,-22.41,643.01,0,-0.01
2014-11-27 06:00:00,3.17,2.5,305.97,325.81,82.45,-17.35,643.32,0,0.02
2014-11-27 07:00:00,4.71,3.68,414.22,348.5,78.45,-11.9,643.85,0,0.14
2014-11-27 08:00:00,6.71,7.53,767.07,407.49,74.53,14.66,644.25,0,0.33
2014-11-27 09:00:00,7.92,9.46,829.42,435.31,75.1,50.44,644.5,0,0.2
2014-11-27 10:00:00,6.45,7.45,499.71,382.42,88.73,36.06,644.41,0,0
2014-11-27 11:00:00,5.79,6.33,454.84,369.9,91.37,15.7,644.23,0,0.03
