"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-02-24 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24 16:00:00,22.75,23.88,623.5,487.6,65.75,20.3,779.17,10.8,0.07
2014-02-24 17:00:00,20.25,20.63,432.23,432.97,80.14,4.54,831.33,0,0.02
2014-02-24 18:00:00,18.61,18.05,366.92,408.33,87.63,-6.34,831.5,0,0.01
2014-02-24 19:00:00,17.29,16.54,360.88,395.02,91.22,-13.45,831.58,0,0.02
2014-02-24 20:00:00,16.27,15.37,338.7,388.93,93.52,-16.51,832.19,0,0.01
2014-02-24 21:00:00,15.71,14.72,335.6,383.3,94.32,-18.59,833.19,0,0
2014-02-24 22:00:00,14.99,14.01,332.47,382.8,94.05,-19.86,834.02,0,0
2014-02-24 23:00:00,14.73,13.8,329.57,380.37,94.77,-20.26,834.03,0,0
2014-02-25 00:00:00,14.63,13.73,344.74,380.33,94.46,-20.38,833.6,0,0.01
2014-02-25 01:00:00,15.09,14.41,364.57,385.23,94.55,-16.03,833.15,0,0.02
2014-02-25 02:00:00,14.72,13.84,341.65,378.77,95.5,-15.36,832.93,0,0.01
2014-02-25 03:00:00,13.39,12.36,338.93,370.34,97.78,-19.71,832.87,0,0
2014-02-25 04:00:00,12.71,11.79,342.96,370.85,97.28,-21.09,833.3,0,0.01
2014-02-25 05:00:00,12.28,11.42,338.27,366.75,97.5,-21.2,833.39,0,0
2014-02-25 06:00:00,11.99,11.2,343.92,366.92,97.83,-21.2,833.88,0,0.01
2014-02-25 07:00:00,13.61,13.27,443.47,400.35,94.45,-18.3,834.39,0,0.09
2014-02-25 08:00:00,17.66,18.6,688.46,476.52,81.7,-4.09,835.28,0,0.23
2014-02-25 09:00:00,18.23,19.92,881.17,517.36,80.92,19.24,836.02,0,0.34
2014-02-25 10:00:00,18.13,19.7,833.11,510.8,83.93,25.59,836,0,0.29
2014-02-25 11:00:00,19.36,21.16,961.13,546.08,76.95,31.85,835.43,0,0.36
2014-02-25 12:00:00,19.98,21.5,803.08,514.78,75.64,30.94,834.97,0,0.24
2014-02-25 13:00:00,21.13,23,1029.65,569.57,71.77,36.37,834.1,0,0.39
2014-02-25 14:00:00,22.65,24.86,1141.49,605.22,63.9,51.09,833.1,0,0.44
2014-02-25 15:00:00,23.39,25.49,1102.04,605.56,62.32,52.79,832.41,0,0.35
2014-02-25 16:00:00,23,24.46,839.81,545.12,64.12,30.93,832.1,0,0.2
2014-02-25 17:00:00,22.19,23.13,563.48,476.24,66.72,14.31,832.12,0,0.06
2014-02-25 18:00:00,19.34,19,393.4,415.35,76.07,-2.27,832.56,0,0.01
2014-02-25 19:00:00,17.95,17.25,371.03,400.25,83.58,-9.33,832.99,0,0
2014-02-25 20:00:00,16.52,15.1,333.24,385.58,87.38,-16.22,833.38,0,0
2014-02-25 21:00:00,15.54,14.24,328.25,381.88,90.42,-19.71,834.15,0,0
2014-02-25 22:00:00,15.14,14.05,342.16,383.5,90.72,-20.51,834.91,0,0
2014-02-25 23:00:00,15.08,14.26,350.14,383.04,91.13,-17.42,835.11,0,0
2014-02-26 00:00:00,14.47,13.52,332.8,378.87,92.85,-18.09,834.75,0,0
2014-02-26 01:00:00,13.79,12.63,317.19,370.78,93.33,-20.75,834.22,0,0
2014-02-26 02:00:00,13.02,11.98,316.97,371.28,94.17,-21.72,833.79,0,0
2014-02-26 03:00:00,12.43,11.53,312.81,366.18,94.93,-21.8,833.91,0,0
2014-02-26 04:00:00,12.02,11.18,314.68,365.95,94.93,-21.8,834.04,0,0
2014-02-26 05:00:00,11.58,10.65,309.3,360.97,95.42,-21.8,834.27,0,0
2014-02-26 06:00:00,11.16,10.4,324.14,363.06,96.28,-21.57,834.79,0,0
2014-02-26 07:00:00,12.4,12.32,435.22,395.92,93.4,-18.47,835.31,0,0.09
2014-02-26 08:00:00,17.57,18.98,737.03,484.89,80.9,-4,836.14,0,0.28
2014-02-26 09:00:00,18.02,19.7,855.35,512.32,85.47,18.44,836.35,0,0.31
2014-02-26 10:00:00,18.04,19.43,766.01,493.19,85.12,23.18,836.34,0,0.24
2014-02-26 11:00:00,19.04,20.83,836.74,517.34,81.33,33.45,835.95,0,0.25
2014-02-26 12:00:00,19.83,21.66,1029.01,561.79,79.3,27.4,835.19,0,0.4
2014-02-26 13:00:00,22.28,25,1474.9,671.73,69.42,60.8,834.23,0,0.67
2014-02-26 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26 17:00:00,24.02,24.78,611.17,495.01,57.79,13.27,794.71,11.63,0.1
2014-02-26 18:00:00,21.2,20.86,408.92,426.59,68.8,0.44,832.89,0,0.01
2014-02-26 19:00:00,17.8,16.42,334.87,393.32,84.85,-13.03,833.24,0,-0.01
2014-02-26 20:00:00,16.64,15.4,334.57,389.35,87.57,-18.38,833.82,0,0
2014-02-26 21:00:00,16.42,15.11,342.92,386.87,85.78,-18.72,834.57,0,0.03
2014-02-26 22:00:00,15.68,14.47,338.75,381.22,88.07,-19.12,835.17,0,0
2014-02-26 23:00:00,15.36,14.16,333.97,380.67,88.78,-18.89,835.01,0,0
2014-02-27 00:00:00,14.35,12.99,317.24,373.67,91.2,-21.05,834.61,0,0
2014-02-27 01:00:00,13.31,12.17,315.21,371.17,93.62,-22.3,834.24,0,0
2014-02-27 02:00:00,12.79,11.76,316.61,370.05,93.52,-22.3,834.02,0,0
2014-02-27 03:00:00,12.27,11.29,312.62,366.02,94.55,-22.3,834.06,0,0
2014-02-27 04:00:00,11.86,10.91,311.46,364.83,95.38,-22.3,834.15,0,0
2014-02-27 05:00:00,11.42,10.58,311.33,360.7,96.25,-22.3,834.5,0,0
2014-02-27 06:00:00,11.11,10.29,321.24,361.98,95.82,-22.28,835.03,0,0
2014-02-27 07:00:00,12.78,12.45,424.26,386.75,93.65,-16.57,835.95,0,0.12
2014-02-27 08:00:00,16.04,16.33,616.25,441.6,89.13,-2.3,836.79,0,0.2
2014-02-27 09:00:00,17.64,18.78,714.36,473.43,82.42,13.98,837.06,0,0.23
2014-02-27 10:00:00,19.4,21.18,990.21,548.33,74.13,27.38,836.8,0,0.4
2014-02-27 11:00:00,20.09,21.94,958.18,550.95,72.43,38.84,836.19,0,0.25
2014-02-27 12:00:00,21.99,24.58,1399.95,657.1,65.3,62.42,835.49,0,0.55
2014-02-27 13:00:00,22.8,25.14,1225.49,625.88,62.08,70.32,834.5,0,0.44
2014-02-27 14:00:00,23.81,26.21,1284.69,646.71,56.43,66.36,833.67,0,0.49
2014-02-27 15:00:00,24.32,26.25,1044.69,596.33,55.02,53.82,833.06,0,0.18
2014-02-27 16:00:00,23.91,25.25,779,535.16,57.82,32.31,832.75,0,0.18
2014-02-27 17:00:00,22.7,23.36,510.27,465.03,64.52,11.32,832.95,0,0.02
2014-02-27 18:00:00,19.28,18.71,369.53,411.23,79.6,-5.34,833.4,0,-0.01
2014-02-27 19:00:00,17.2,15.92,334.92,391.14,86.28,-15.48,833.35,0,0
2014-02-27 20:00:00,16.3,15.07,333.92,387.54,87.9,-18.87,833.84,0,0
2014-02-27 21:00:00,15.59,14.19,328.7,381.24,89.95,-20.2,834.54,0,0
2014-02-27 22:00:00,15.03,13.71,329.87,382.81,89.25,-21.16,834.98,0,0
2014-02-27 23:00:00,14.66,13.55,325.61,378.15,88.9,-21.04,835.12,0,0
2014-02-28 00:00:00,14.15,13.1,323.38,376.31,89.73,-21.2,834.59,0,0
2014-02-28 01:00:00,13.97,12.77,319.64,373.27,88.95,-21.2,834.33,0,0.01
2014-02-28 02:00:00,13.1,12.11,318.13,371.58,92.75,-21.2,833.89,0,0
2014-02-28 03:00:00,12.53,11.51,314.22,367.83,92.33,-21.65,833.54,0,0
2014-02-28 04:00:00,11.88,10.96,311.32,364.71,92.97,-21.91,833.81,0,0
2014-02-28 05:00:00,11.5,10.6,307.18,360.58,94.65,-22.2,834.38,0,0
2014-02-28 06:00:00,11.19,10.38,312.75,362.36,94.83,-22.01,834.69,0,0
2014-02-28 07:00:00,12.8,12.49,429.91,394.96,91,-19.49,835.37,0,0.09
2014-02-28 08:00:00,18.36,19.89,733.69,486.33,75.88,-4.82,835.86,0,0.28
2014-02-28 09:00:00,19.29,21.4,996.58,553.48,73.75,21.9,836.1,0,0.37
2014-02-28 10:00:00,20.16,22.67,1132.19,594.38,72.1,47.4,836.02,0,0.39
2014-02-28 11:00:00,20.61,22.92,1152.36,598.7,72.27,50.96,835.78,0,0.41
2014-02-28 12:00:00,22.06,24.41,1318.08,641.66,66.82,66.5,834.81,0,0.56
2014-02-28 13:00:00,23.68,25.99,1306.05,648.89,58.73,77.02,833.85,0,0.5
2014-02-28 14:00:00,24.09,26.42,1273.34,646.09,56.58,64.98,833.19,0,0.47
2014-02-28 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
