"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-12-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01 08:00:00,6.44,7.85,596.48,371.55,89.8,6.97,640.31,0,0.25
2014-12-01 09:00:00,6.13,8.26,604.63,380.21,92.33,14.38,640.36,0,0.22
2014-12-01 10:00:00,6.54,8.37,679.56,387.82,91.95,12.4,640.28,0,0.29
2014-12-01 11:00:00,6,7.41,434.14,360.29,94.78,12.64,639.8,0,0.05
2014-12-01 12:00:00,5.98,6.7,427.43,356.01,96.4,7.7,639.21,0.3,-0.1
2014-12-01 13:00:00,6.39,7.23,613.36,373.07,93.28,6.55,638.76,0.4,0.18
2014-12-01 14:00:00,8.79,12.06,983.86,431.52,84.57,24,638.07,0,0.59
2014-12-01 15:00:00,7.6,10.91,652.89,396.5,95,24.87,637.76,0.4,0.17
2014-12-01 16:00:00,7.06,8.64,506.57,371.91,95.82,15.19,637.79,0,0.11
2014-12-01 17:00:00,5.95,6.22,350.12,347.44,97.1,5.95,637.98,0,0
2014-12-01 18:00:00,5.54,5.24,319.32,341.02,97.28,1.4,638.33,0,-0.01
2014-12-01 19:00:00,4.68,3.43,306.75,330.63,94.07,-4.42,638.84,0,0
2014-12-01 20:00:00,5.02,4.1,322.61,332.69,93.7,-4.75,639.35,0,0
2014-12-01 21:00:00,4.66,3.71,322.6,333.3,93.65,-4.4,639.55,0,0
2014-12-01 22:00:00,4.88,3.8,321.51,333.11,91.43,-4.4,639.54,0,0
2014-12-01 23:00:00,4.96,4.06,321.06,332.67,90.68,-3.76,639.34,0,0
2014-12-02 00:00:00,3.93,3.26,307.84,327.65,97.2,-4.46,638.96,0,0
2014-12-02 01:00:00,3.83,2.96,318.12,326.18,97.8,-5.48,638.52,0,0
2014-12-02 02:00:00,4.13,2.96,309.88,326.17,93.35,-6.17,637.8,0,0
2014-12-02 03:00:00,4.08,3.38,318.02,327.28,96.27,-5.5,637.79,0,0
2014-12-02 04:00:00,4.56,3.91,330.2,331.86,97.45,-3.94,638,0,0.04
2014-12-02 05:00:00,4.05,3.73,328.01,330.91,98.97,-2.86,638.46,4.2,0.33
2014-12-02 06:00:00,2.47,1.71,321.81,322.14,94.77,-10.19,638.82,8.5,0.52
2014-12-02 07:00:00,2.98,2.13,338.2,323.21,93.47,-11.18,639.46,2.6,0.21
