"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-05-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13 15:00:00,28.06,30.38,923.5,541.17,58.73,16.42,911.77,0.15,0.43
2014-05-13 16:00:00,28.2,29.86,768.83,521.25,59.58,8.64,911.42,0,0.29
2014-05-13 17:00:00,26.68,26.23,485.89,466.74,65.15,-19.86,911.58,0,0.06
2014-05-13 18:00:00,24.52,23.93,412.67,440.31,76.63,-25.35,912.14,0,0.01
2014-05-13 19:00:00,22.93,22.55,406.24,432.71,86.28,-27.48,912.77,0,0
2014-05-13 20:00:00,22.22,21.89,393.98,427.89,90.17,-26.51,913.53,0,0
2014-05-13 21:00:00,21.68,21.33,401.29,421.65,90.82,-25.73,914.38,0,0
2014-05-13 22:00:00,21.1,21.04,409.8,420.07,93.63,-21.22,914.61,0,0.01
2014-05-13 23:00:00,20.75,20.64,412.9,420.35,94.2,-20.03,914.45,0,0
2014-05-14 00:00:00,20.49,20.4,412.8,420.48,95.68,-19.09,914.19,0,0.01
2014-05-14 01:00:00,20.4,20.23,408.23,417.81,95.9,-17.94,913.86,0,0.05
2014-05-14 02:00:00,20.35,20.2,408.33,416,95.65,-17.18,913.47,0,0.09
2014-05-14 03:00:00,20.36,20.09,405.87,414.88,95.57,-16.7,913.36,0,0.11
2014-05-14 04:00:00,20.35,20.08,404.44,414.53,94.98,-15.83,913.45,0,0.12
2014-05-14 05:00:00,19.89,19.7,398.31,414.64,96.58,-17.05,913.87,0,0.16
2014-05-14 06:00:00,19.9,19.66,413.41,417.22,96.82,-15.35,914.43,0,0.18
2014-05-14 07:00:00,22.1,21.13,587.72,447.11,86.13,-5.38,914.83,0,0.24
2014-05-14 08:00:00,23.23,23.45,760.53,476.38,81.87,11.18,915.2,0,0.32
2014-05-14 09:00:00,22.62,23.4,685.5,469.55,85.4,19.22,915.4,0,0.2
2014-05-14 10:00:00,24.8,26.55,1163.81,540.19,76.43,55.39,915,0,0.55
2014-05-14 11:00:00,25.61,27.12,1024.15,528,70.87,55.78,914.39,0,0.46
2014-05-14 12:00:00,26.43,28.39,1110.76,547.05,67.82,75.47,913.32,0,0.52
2014-05-14 13:00:00,26.66,28.82,1007.5,541.38,66.47,78.31,912.24,0,0.41
2014-05-14 14:00:00,26.48,28.15,940.07,529.17,66.4,27.89,911.51,0,0.42
2014-05-14 15:00:00,26.51,27.75,751.49,502.35,66.27,17.29,910.81,0,0.24
2014-05-14 16:00:00,22.8,23.43,519.11,453.6,85.68,-7.84,910.94,0,-0.05
2014-05-14 17:00:00,22.54,22.64,446.56,438.18,87.3,-16.77,911.35,0,0.02
2014-05-14 18:00:00,21.98,21.76,413.16,429.6,88.47,-21.57,911.62,0,0.03
2014-05-14 19:00:00,22.2,21.84,412.53,428.85,85.13,-18.87,912.14,0,0.05
2014-05-14 20:00:00,22.01,21.56,404.02,426.06,80,-19.88,912.74,0,0.06
2014-05-14 21:00:00,21.3,20.99,408.74,420.19,83.83,-18.86,913.5,0,0.04
2014-05-14 22:00:00,20.68,20.48,409.92,420.21,88.57,-17.39,913.8,0,0.05
2014-05-14 23:00:00,20.33,20.2,408.48,418.73,93.95,-15.62,913.69,0,0.12
2014-05-15 00:00:00,20.15,20.03,407.8,417.18,95.27,-14.24,913.23,0,0.11
2014-05-15 01:00:00,19.91,19.85,407.8,414.92,96,-13.66,912.74,0,0.14
2014-05-15 02:00:00,19.66,19.63,407.8,415.21,96.75,-13.6,912.35,0,0.19
2014-05-15 03:00:00,19.41,19.29,405.89,412.8,97.13,-14.19,912.1,0.08,0.24
2014-05-15 04:00:00,19.2,19.03,405.07,411.4,98.45,-14.02,912.08,0,0.26
2014-05-15 05:00:00,18.81,18.66,404.95,411.43,96.67,-16,912.64,0,0.26
2014-05-15 06:00:00,18.57,18.39,406.3,411.5,98.45,-18.54,913.09,1.2,0.53
2014-05-15 07:00:00,18.3,18.09,427.66,410.02,97.18,-18.75,913.64,0.3,0.35
2014-05-15 08:00:00,18.77,18.68,501.47,424.74,92.55,-7.1,914.35,0,0.15
2014-05-15 09:00:00,19.54,19.71,617.57,444.84,88.6,4.06,914.71,0,0.22
2014-05-15 10:00:00,20.4,20.81,669.95,459.21,84.98,14.03,914.52,0,0.22
2014-05-15 11:00:00,21.98,23.06,940.35,505.99,79.7,39.82,913.9,0,0.43
2014-05-15 12:00:00,23.57,25.23,1151.55,540.35,73.35,73.47,912.89,0,0.58
2014-05-15 13:00:00,24.65,27.04,1177.73,556.09,69.28,88.98,911.75,0,0.54
2014-05-15 14:00:00,25.12,27.18,1092.99,553.6,66.43,26.92,911.08,0,0.54
2014-05-15 15:00:00,24.92,26.6,897.93,526.99,64.63,17.64,910.57,0,0.38
2014-05-15 16:00:00,23.99,24.78,629.11,479.82,66.85,-4.54,910.44,0,0.18
2014-05-15 17:00:00,22.92,22.88,464.39,442.02,72.4,-23.07,910.7,0,0.1
2014-05-15 18:00:00,22.2,21.83,404.78,428.58,75.63,-29.25,911.08,0,0.01
2014-05-15 19:00:00,21.63,20.99,382.43,420.84,76.03,-32.6,911.38,0,0.01
2014-05-15 20:00:00,21.48,20.84,400.15,420.18,75.52,-28.73,911.88,0,0.03
2014-05-15 21:00:00,21.57,20.97,400.51,417.2,74.08,-24.51,912.38,0,0.01
2014-05-15 22:00:00,21.15,20.62,404.25,419.3,77.22,-22.43,912.7,0,0
2014-05-15 23:00:00,20.29,20.09,401.91,417.23,87.97,-20.24,912.74,0,0
2014-05-16 00:00:00,19.58,19.42,401.23,414.06,93.17,-20.16,912.6,0,0.05
2014-05-16 01:00:00,19.34,19.29,402.95,410.54,95.48,-17.91,912.16,0,0.09
2014-05-16 02:00:00,19.23,19.15,399.21,407.67,95.68,-17.34,911.67,0,0.07
2014-05-16 03:00:00,19.1,19.04,399.76,410.07,97.27,-16.55,911.47,0,0.23
2014-05-16 04:00:00,19.08,18.96,400.47,409,97.67,-15.64,911.52,0,0.24
2014-05-16 05:00:00,18.73,18.55,396.95,409.28,97,-17.2,911.98,0,0.31
