"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-09-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16 13:00:00,26.49,29.08,1307.09,646.15,41.62,33.65,913.43,0,0.24
2014-09-16 14:00:00,26.75,29.17,1212.96,632.78,39.97,32.22,912.85,0,0.17
2014-09-16 15:00:00,27.27,29.42,1027.49,602.69,37.68,16.41,912.23,0,0.07
2014-09-16 16:00:00,27.09,28.66,783.7,553.48,37.02,2.49,912.11,0,0.01
2014-09-16 17:00:00,26.21,26.96,535.97,494.61,38.97,-7.99,912.22,0,-0.01
2014-09-16 18:00:00,23.33,22.76,368.55,429.96,47.77,-18.28,912.67,0,-0.01
2014-09-16 19:00:00,22.51,21.24,355.26,416.28,49.28,-22.9,913.22,0,0
2014-09-16 20:00:00,21.99,21.21,355.74,418.52,59.47,-22.31,913.98,0,0
2014-09-16 21:00:00,20.44,20.05,385.28,414.84,76.02,-19.7,914.54,0,0
2014-09-16 22:00:00,19.46,19.25,397.15,411.62,82.92,-16.7,915.16,0,0
2014-09-16 23:00:00,18.86,18.65,397.12,409.42,86.4,-16.15,915.07,0,0
2014-09-17 00:00:00,18.17,17.85,381.95,405.96,89.05,-16.65,914.52,0,0
2014-09-17 01:00:00,18.02,17.77,392.97,405.33,90.07,-15.81,913.8,0,0
2014-09-17 02:00:00,17.82,17.57,393.93,404.65,91.15,-15.3,913.43,0,0.01
2014-09-17 03:00:00,17.55,17.24,389.25,402.88,91,-15.7,913.85,0,0
2014-09-17 04:00:00,17.25,16.82,369.86,397.24,91.5,-16.45,914.16,0,0
2014-09-17 05:00:00,17.41,17,384.8,397.38,90.37,-15.89,914.55,0,0.01
