,PlotID,begin,end,Z_DEM_HMP,slope,ASP_DEM_HMP,path_length,path_height,inclination
1,fer0,2014329,2014334,3956,17.2,196,100,4,-10.7
2,hel1,2014335,2014339,3849,9.7,310,120,3,0.8
3,fed1,2014323,2014328,3498,17.2,264,70,4,-7.8
4,gra2,2014076,2014079,1754,20.4,94,70,2,-0.5
5,gra1,2014056,2014059,1742,6.8,146,64,2,4.1
6,cof2,2014081,2014085,1353,2.8,175,68,5.4,-0.3
7,cof3,2014070,2014072,1288,18.3,270,103,2.2,4.7
8,mai0,2014137,2014141,1010,1,177,71,5.3,0.5
9,mai4,2014133,2014137,962,1.5,273,79,5.3,-1.6
11,sav0 (d),2014259,2014263,953,0.8,23,104,5.4,-0.8
10,sav0,2014125,2014129,953,0.8,23,77,5.4,-0.8
13,sav5 (d),2014255,2014259,943,1.2,13,94,5.4,-0.9
12,sav5,2014129,2014133,943,1.1,13,79,5.3,-0.9
